name,id,home_planet,best_friend_id,first_episode
Bevel Lemelisk,96,,95,EMPIRE
Lobot,97,Ando,96,JEDI
Logray,98,,97,NEWHOPE
G�n�ral Crix Madine,99,,98,EMPIRE
Shu Mai,100,,99,JEDI
Malakili,101,,100,NEWHOPE
Dark Maul,102,Naboo,101,EMPIRE
Droopy McCool,103,,102,JEDI
Lyn Me,104,Tatooine,103,NEWHOPE
Tion Medon,105,Utapau,104,EMPIRE
Lieutenant Dopheld Mitaka,106,,105,JEDI
Ephant Mon,107,,106,NEWHOPE
Sly Moore,108,,107,EMPIRE
Mon Mothma,109,,108,JEDI
Amiral Conan Motti,110,,109,NEWHOPE
Muftak,111,,110,EMPIRE
Boss Nass,112,,111,JEDI
Ruwee  Jobal et Sola Naberrie,113,123,112,NEWHOPE
Capitaine Lorth Needa,114,,113,EMPIRE
Bazine Netal,115,,114,JEDI
Jocasta Nu,116,Coruscant,115,NEWHOPE
Ten Numb,117,,116,EMPIRE
Nien Nunb,118,Ando,117,JEDI
Barriss Offee,119,,118,NEWHOPE
Ric Oli�,120,,119,EMPIRE
Oola,121,,120,JEDI
Garazeb Orrelios,122,,121,NEWHOPE
Bail Organa,123,Alderaan,122,EMPIRE
Princesse Leia Organa,124,,123,JEDI
Amiral Kendal Ozzel,125,,124,NEWHOPE
Sheev Palpatine,126,Naboo,125,EMPIRE
Capitaine Quarsh Panaka,127,Naboo,126,JEDI
Baron Notluwiski Papanoida,128,,127,NEWHOPE
Chi Eekway Papanoida,129,,128,EMPIRE
Jess Pava,130,,129,JEDI
Gilad Pellaeon,131,,130,NEWHOPE
Sate Pestage,132,,131,EMPIRE
Capitaine Phasma,133,,132,JEDI
Even Piell,134,,133,NEWHOPE
Amiral Firmus Piett,135,Endor,134,EMPIRE
Sarco Plank,136,Jakku,135,JEDI
Unkar Plutt,137,,136,NEWHOPE
Poggle le Bref,138,,137,EMPIRE
Yarael Poof,139,Naboo,138,JEDI
Oppo Rancisis,140,,139,NEWHOPE
Rappertunie,141,,140,EMPIRE
Max Rebo,142,,141,JEDI
Kylo Ren,143,,142,NEWHOPE
Rey,144,Jakku,143,EMPIRE
Capitaine Rex,145,,144,JEDI
Dash Rendar,146,,145,NEWHOPE
G�n�ral Carlist Rieekan,147,Hoth,146,EMPIRE
Horox Ryyder,148,Tatooine,147,JEDI
Naga Sadow,149,Yavin,148,NEWHOPE
Ko Sai,150,,149,EMPIRE
Lor San Tekka,151,,150,JEDI
Rystall Sant,152,Tatooine,151,NEWHOPE
Sab�,153,,152,EMPIRE
Sebulba,154,,153,JEDI
Aayla Secura,155,,154,NEWHOPE
Korr Sella,156,,155,EMPIRE
Viqi Shesh,157,Kuat,156,JEDI
Lufta Shif,158,Naboo,157,NEWHOPE
Aurra Sing,159,,158,EMPIRE
Anakin Skywalker,160,,159,JEDI
Luke Skywalker,161,,160,NEWHOPE
Shmi Skywalker,162,Tatooine,161,EMPIRE
Elan Sleazebaggano,163,,162,JEDI
Sy Snootles,164,,163,NEWHOPE
Anakin Solo,165,,164,EMPIRE
Han Solo,166,,165,JEDI
Jacen et Jaina Solo,167,,166,NEWHOPE
Tionne Solusar,168,Yavin,167,EMPIRE
Amiral Statura,169,,168,JEDI
Lama Su,170,,169,NEWHOPE
Bultar Swan,171,,170,EMPIRE
Hera Syndulla,172,,171,JEDI
Wat Tambor,173,,172,NEWHOPE
Ahsoka Tano,174,,173,EMPIRE
Tarfful,175,,174,JEDI
Sei Taria,176,,175,NEWHOPE
Grand Moff Wilhuff Tarkin,177,,176,EMPIRE
Capitaine Roos Tarpals,178,Naboo,177,JEDI
Teebo,179,,178,NEWHOPE
Rep Teers,180,,179,EMPIRE
Booster et Mirax Terrik,181,,180,JEDI
Tessek,182,,181,NEWHOPE
Bria Tharen,183,,182,EMPIRE
Grand Amiral Thrawn,184,,183,JEDI
Shaak Ti,185,,184,NEWHOPE
Saesee Tiin,186,,185,EMPIRE
Tikkes,187,,186,JEDI
Cindel Towani,188,Endor,187,NEWHOPE
Coleman Trebor,189,,188,EMPIRE
Stono Tuggs,190,,189,JEDI
Capitaine Gregar Typho,191,,190,NEWHOPE
Bogg Tyrell,192,,191,EMPIRE
Luminara Unduli,193,,192,JEDI
Dark Vador,194,,193,NEWHOPE
Finis Valorum,195,,194,EMPIRE
G�n�ral Maximillian Veers,196,,195,JEDI
Tahiri Veila,197,,196,NEWHOPE
Asajj Ventress,198,,197,EMPIRE
Wald,199,,198,JEDI
Wicket Warrick,200,,199,NEWHOPE
Watto,201,,200,EMPIRE
Taun We,202,,201,JEDI
Zam Wesell,203,,202,NEWHOPE
Snap Wexley,204,,203,EMPIRE
Mace Windu,205,,204,JEDI
WinterNote 6,206,,205,NEWHOPE
Prince Xizor,207,,206,EMPIRE
Yaddle,208,,207,JEDI
Yoda,209,,208,NEWHOPE
Grand Moff Zsinj,210,,209,EMPIRE
Zuckuss,211,,210,JEDI
Zuvio,212,Jakku,211,NEWHOPE
